GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0070646	protein modification by small protein removal	9.58e-06	9.58e-06	1	BRCA1,KEAP1,EP300,GATA3,USP9X,APC,TP53,SMAD4,BAP1,AXIN2,AR,ASXL1,PTEN,SMAD2
GO:0033045	regulation of sister chromatid segregation	9.77e-06	9.77e-06	1	ATRX,CTCF,APC,RB1,ATM,RAD21,CTNNB1,AXIN2
GO:0071158	positive regulation of cell cycle arrest	9.96e-06	9.96e-06	1	BRCA1,EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0071496	cellular response to external stimulus	1.02e-05	1.02e-05	1	MAP2K4,MAP3K1,CDKN1A,SOX9,FOXA2,TLR4,TP53,ARHGAP35,LRRK2,MTOR
GO:0031647	regulation of protein stability	1.02e-05	1.02e-05	1	EP300,FBXW7,CDKN1A,KRAS,VHL,PIK3R1,TAF1,CDKN2A,SOX17,PTEN,CHEK2
GO:0090068	positive regulation of cell cycle process	1.07e-05	1.07e-05	1	BRCA1,ATRX,EP300,CCND1,CDKN1B,CDKN1A,RB1,TP53,ATM,NPM1,CHEK2
GO:0071396	cellular response to lipid	1.13e-05	1.13e-05	1	BRCA1,EPHA3,EP300,ARID1A,SOX9,FOXA1,TLR4,RB1,EGFR,TAF1,CTNNB1,AR,CRIPAK
GO:0035265	organ growth	1.26e-05	1.26e-05	1	FGFR2,FGFR3,SOX9,NOTCH1,PTEN,ERBB4,WT1
REAC:3247509	Chromatin modifying enzymes	1.34e-05	1.34e-05	1	MECOM,EP300,EZH2,CCND1,ARID1A,DNMT3A,KDM5C,NCOR1,KDM6A,ARID5B,HIST1H2BD,PBRM1,NSD1,TBL1XR1,SETD2
REAC:4839726	Chromatin organization	1.34e-05	1.34e-05	1	MECOM,EP300,EZH2,CCND1,ARID1A,DNMT3A,KDM5C,NCOR1,KDM6A,ARID5B,HIST1H2BD,PBRM1,NSD1,TBL1XR1,SETD2
GO:0031570	DNA integrity checkpoint	1.35e-05	1.35e-05	1	BRCA1,EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,ATR,NPM1,CHEK2
GO:0030518	intracellular steroid hormone receptor signaling pathway	1.39e-05	1.39e-05	1	BRCA1,EP300,ARID1A,FOXA1,RB1,TAF1,CTNNB1,AR,CRIPAK
GO:0032876	negative regulation of DNA endoreduplication	1.47e-05	1.47e-05	1	SMC1A,STAG2,SMC3,FBXW7
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity	1.55e-05	1.55e-05	1	EP300,FOXA1,TLR4,AKT1,TAF1,ARID5B,KIT,CTNNB1,AR,PTEN,NPM1
GO:1900180	regulation of protein localization to nucleus	1.72e-05	1.72e-05	1	CDH1,KEAP1,TLR4,SMAD4,AKT1,PIK3R1,EGFR,AXIN2,SIN3A,ERBB4,NF1
REAC:5654706	FRS-mediated FGFR3 signaling	1.82e-05	1.82e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
REAC:5654693	FRS-mediated FGFR1 signaling	1.82e-05	1.82e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
REAC:5654700	FRS-mediated FGFR2 signaling	1.82e-05	1.82e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
REAC:5654712	FRS-mediated FGFR4 signaling	1.82e-05	1.82e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
GO:0007062	sister chromatid cohesion	1.85e-05	1.85e-05	1	SMC1A,ATRX,STAG2,CTCF,SMC3,FBXW7,RB1,RAD21,CTNNB1,AXIN2
GO:0043401	steroid hormone mediated signaling pathway	1.89e-05	1.89e-05	1	BRCA1,EP300,ARID1A,FOXA1,RB1,TAF1,CTNNB1,AR,CRIPAK
GO:0018108	peptidyl-tyrosine phosphorylation	2.17e-05	2.17e-05	1	HGF,FGFR2,FGFR3,FBXW7,FLT3,PDGFRA,TP53,EGFR,KIT,ERBB4
REAC:5684996	MAPK1/MAPK3 signaling	2.31e-05	2.31e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
GO:0051053	negative regulation of DNA metabolic process	2.35e-05	2.35e-05	1	POLQ,SMC1A,STAG2,SMC3,FBXW7,TP53,ATM,ATR,CHEK2
GO:0018212	peptidyl-tyrosine modification	2.42e-05	2.42e-05	1	HGF,FGFR2,FGFR3,FBXW7,FLT3,PDGFRA,TP53,EGFR,KIT,ERBB4
GO:1901216	positive regulation of neuron death	2.46e-05	2.46e-05	1	FBXW7,TP53,CTNNB1,NF1
REAC:2586552	Signaling by Leptin	2.54e-05	2.54e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
REAC:210993	Tie2 Signaling	3.13e-05	3.13e-05	1	PIK3CA,KRAS,PIK3R1,NRAS
GO:0000819	sister chromatid segregation	3.14e-05	3.14e-05	1	SMC1A,ATRX,STAG2,CTCF,SMC3,FBXW7,APC,RB1,ATM,RAD21,CTNNB1,AXIN2
GO:2001252	positive regulation of chromosome organization	3.18e-05	3.18e-05	1	BRCA1,ATRX,RB1,TP53,SMAD4,ATM,RAD21,CTNNB1,SIN3A,ATR
GO:0035295	tube development	3.33e-05	3.33e-05	1	FGFR2,GATA3,SOX9,PDGFRA,NOTCH1,KIT,TGFBR2,SOX17,CTNNB1,WT1,CEBPA
GO:0050821	protein stabilization	3.37e-05	3.37e-05	1	EP300,FBXW7,CDKN1A,VHL,PIK3R1,TAF1,SOX17,PTEN,CHEK2
GO:0044773	mitotic DNA damage checkpoint	3.42e-05	3.42e-05	1	EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
REAC:448424	Interleukin-17 signaling	3.51e-05	3.51e-05	1	HGF,MAP2K4,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
REAC:2871796	FCERI mediated MAPK activation	3.64e-05	3.64e-05	1	HGF,MAP2K4,FGFR2,FGFR3,MAP3K1,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	3.75e-05	3.75e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0042692	muscle cell differentiation	3.80e-05	3.80e-05	1	FGFR2,SOX9,PDGFRA,TBX3,RB1,SMAD4,NOTCH1,KIT,CTNNB1,WT1
GO:1902400	intracellular signal transduction involved in G1 DNA damage checkpoint	4.22e-05	4.22e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	4.22e-05	4.22e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0072001	renal system development	4.40e-05	4.40e-05	1	FGFR2,GATA3,SOX9,PDGFRA,SOX17,CTNNB1,WT1,LRRK2,NF1
REAC:69236	G1 Phase	4.43e-05	4.43e-05	1	PPP2R1A,CCND1,CDKN1B,CDKN2C,CDKN1A,RB1,CDKN2A
REAC:69231	Cyclin D associated events in G1	4.43e-05	4.43e-05	1	PPP2R1A,CCND1,CDKN1B,CDKN2C,CDKN1A,RB1,CDKN2A
REAC:112412	SOS-mediated signalling	4.61e-05	4.61e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:179812	GRB2 events in EGFR signaling	4.61e-05	4.61e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:1250347	SHC1 events in ERBB4 signaling	4.61e-05	4.61e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:180336	SHC1 events in EGFR signaling	4.61e-05	4.61e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:5673001	RAF/MAP kinase cascade	4.61e-05	4.61e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint	4.74e-05	4.74e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:1902402	signal transduction involved in mitotic DNA damage checkpoint	4.74e-05	4.74e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0072413	signal transduction involved in mitotic cell cycle checkpoint	4.74e-05	4.74e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0030521	androgen receptor signaling pathway	4.77e-05	4.77e-05	1	BRCA1,EP300,ARID1A,RB1,TAF1,CTNNB1,AR
GO:2000104	negative regulation of DNA-dependent DNA replication	5.31e-05	5.31e-05	1	SMC1A,STAG2,SMC3,FBXW7,CHEK2
GO:2000677	regulation of transcription regulatory region DNA binding	5.34e-05	5.34e-05	1	GATA3,RB1,TAF1,NSD1,CTNNB1,SIN3A
GO:0043550	regulation of lipid kinase activity	5.44e-05	5.44e-05	1	FGFR3,FLT3,PDGFRA,RB1,PIK3R1,KIT
REAC:170984	ARMS-mediated activation	5.51e-05	5.51e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:187706	Signalling to p38 via RIT and RIN	5.51e-05	5.51e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0070372	regulation of ERK1 and ERK2 cascade	5.53e-05	5.53e-05	1	FGFR2,FGFR3,FBXW7,PDGFRA,TLR4,SMAD4,EGFR,BRAF,PTEN,ERBB4
REAC:170968	Frs2-mediated activation	5.76e-05	5.76e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0043276	anoikis	5.90e-05	5.90e-05	1	STK11,PIK3CA,AKT1,NOTCH1,MTOR
GO:0072401	signal transduction involved in DNA integrity checkpoint	5.94e-05	5.94e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0072422	signal transduction involved in DNA damage checkpoint	5.94e-05	5.94e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0008156	negative regulation of DNA replication	6.06e-05	6.06e-05	1	SMC1A,STAG2,SMC3,FBXW7,ATR,CHEK2
GO:0001763	morphogenesis of a branching structure	6.26e-05	6.26e-05	1	HGF,FGFR2,SOX9,TGFBR2,CTNNB1,WT1,LRRK2
REAC:169893	Prolonged ERK activation events	6.28e-05	6.28e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:109704	PI3K Cascade	6.48e-05	6.48e-05	1	FGFR2,FGFR3,STK11,PIK3CA,AKT1,PIK3R1,PTPN11,MTOR
GO:0071383	cellular response to steroid hormone stimulus	6.61e-05	6.61e-05	1	BRCA1,EP300,ARID1A,FOXA1,RB1,TAF1,CTNNB1,AR,CRIPAK
GO:0072395	signal transduction involved in cell cycle checkpoint	6.63e-05	6.63e-05	1	EP300,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0044774	mitotic DNA integrity checkpoint	6.67e-05	6.67e-05	1	EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	6.75e-05	6.75e-05	1	APC,CDKN2A,PTEN,CEBPA
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	6.75e-05	6.75e-05	1	APC,CDKN2A,PTEN,CEBPA
REAC:5655332	Signaling by FGFR3 in disease	7.05e-05	7.05e-05	1	FGFR3,PIK3CA,KRAS,PIK3R1,NRAS
REAC:8853338	Signaling by FGFR3 point mutants in cancer	7.05e-05	7.05e-05	1	FGFR3,PIK3CA,KRAS,PIK3R1,NRAS
GO:0044744	protein targeting to nucleus	7.15e-05	7.15e-05	1	CDH1,KEAP1,TLR4,AKT1,PIK3R1,EGFR,CTNNB1,ERBB4,NF1
GO:0006606	protein import into nucleus	7.15e-05	7.15e-05	1	CDH1,KEAP1,TLR4,AKT1,PIK3R1,EGFR,CTNNB1,ERBB4,NF1
GO:1902593	single-organism nuclear import	7.45e-05	7.45e-05	1	CDH1,KEAP1,TLR4,AKT1,PIK3R1,EGFR,CTNNB1,ERBB4,NF1
REAC:167044	Signalling to RAS	7.46e-05	7.46e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:5218921	VEGFR2 mediated cell proliferation	8.12e-05	8.12e-05	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0090316	positive regulation of intracellular protein transport	8.67e-05	8.67e-05	1	CDH1,FBXW7,TLR4,TP53,SMAD4,PIK3R1,EGFR,U2AF1,BAP1,ERBB4
GO:0051983	regulation of chromosome segregation	9.63e-05	9.63e-05	1	ATRX,CTCF,APC,RB1,ATM,RAD21,CTNNB1,AXIN2
REAC:187687	Signalling to ERKs	1.00e-04	1.00e-04	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0018205	peptidyl-lysine modification	1.02e-04	1.02e-04	1	BRCA1,ATRX,EP300,EZH2,BRCA2,SMAD4,KDM6A,CDKN2A,NSD1,CTNNB1,TET2,SIN3A,SETD2
GO:0032875	regulation of DNA endoreduplication	1.02e-04	1.02e-04	1	SMC1A,STAG2,SMC3,FBXW7
GO:0022612	gland morphogenesis	1.04e-04	1.04e-04	1	HGF,FGFR2,FBXW7,SOX9,ELF3
GO:0009755	hormone-mediated signaling pathway	1.09e-04	1.09e-04	1	BRCA1,EP300,ARID1A,FOXA1,RB1,TAF1,CTNNB1,AR,CRIPAK
GO:0061180	mammary gland epithelium development	1.15e-04	1.15e-04	1	FGFR2,GATA3,BRCA2,AKT1,ERBB4
GO:0061458	reproductive system development	1.16e-04	1.16e-04	1	FGFR2,GATA3,SOX9,PDGFRA,TBX3,KIT,AR,PTPN11,WT1
GO:0048608	reproductive structure development	1.16e-04	1.16e-04	1	FGFR2,GATA3,SOX9,PDGFRA,TBX3,KIT,AR,PTPN11,WT1
GO:0006338	chromatin remodeling	1.16e-04	1.16e-04	1	ATRX,ARID1A,SOX9,FOXA1,RB1,CDKN2A,PBRM1,NPM1
GO:0019216	regulation of lipid metabolic process	1.17e-04	1.17e-04	1	BRCA1,FGFR3,FBXW7,FLT3,PDGFRA,RB1,AKT1,PIK3R1,KIT,MTOR
REAC:1963642	PI3K events in ERBB2 signaling	1.25e-04	1.25e-04	1	PIK3CA,PIK3R1,EGFR
GO:0097193	intrinsic apoptotic signaling pathway	1.29e-04	1.29e-04	1	BRCA1,EP300,FBXW7,NFE2L2,STK11,CDKN1A,TP53,AKT1,CHEK2,LRRK2
GO:0001822	kidney development	1.49e-04	1.49e-04	1	FGFR2,GATA3,SOX9,PDGFRA,CTNNB1,WT1,LRRK2,NF1
REAC:5683057	MAPK family signaling cascades	1.52e-04	1.52e-04	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
GO:0051170	nuclear import	1.55e-04	1.55e-04	1	CDH1,KEAP1,TLR4,AKT1,PIK3R1,EGFR,CTNNB1,ERBB4,NF1
REAC:1963640	GRB2 events in ERBB2 signaling	1.60e-04	1.60e-04	1	KRAS,EGFR,ERBB4,NRAS
GO:0042306	regulation of protein import into nucleus	1.72e-04	1.72e-04	1	CDH1,KEAP1,TLR4,SMAD4,PIK3R1,EGFR,ERBB4,NF1
REAC:375165	NCAM signaling for neurite out-growth	1.76e-04	1.76e-04	1	HGF,FGFR2,FGFR3,PPP2R1A,KRAS,PDGFRA,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
REAC:8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	1.77e-04	1.77e-04	1	KRAS,ARHGAP35,NF1,NRAS
GO:0010506	regulation of autophagy	1.78e-04	1.78e-04	1	HGF,EP300,FBXW7,STK11,PIK3CA,AKT1,ATM,U2AF1,LRRK2,MTOR
GO:0009416	response to light stimulus	1.86e-04	1.86e-04	1	EP300,CCND1,STK11,CDKN1A,TP53,AKT1,EGFR,TAF1,ATR,NF1
GO:0061061	muscle structure development	1.92e-04	1.92e-04	1	FGFR2,SOX9,PDGFRA,TBX3,RB1,SMAD4,NOTCH1,KIT,CTNNB1,ERBB4,WT1
GO:0008213	protein alkylation	1.93e-04	1.93e-04	1	BRCA1,ATRX,EZH2,SMAD4,KDM6A,NSD1,CTNNB1,TET2,SETD2
GO:0006479	protein methylation	1.93e-04	1.93e-04	1	BRCA1,ATRX,EZH2,SMAD4,KDM6A,NSD1,CTNNB1,TET2,SETD2
GO:0030522	intracellular receptor signaling pathway	1.97e-04	1.97e-04	1	BRCA1,EP300,ARID1A,FOXA1,RB1,TAF1,CTNNB1,AR,ASXL1,CRIPAK
GO:0007548	sex differentiation	2.02e-04	2.02e-04	1	GATA3,SOX9,PDGFRA,TBX3,KIT,AR,PTPN11,WT1
GO:0042023	DNA endoreduplication	2.03e-04	2.03e-04	1	SMC1A,STAG2,SMC3,FBXW7
GO:1904589	regulation of protein import	2.07e-04	2.07e-04	1	CDH1,KEAP1,TLR4,SMAD4,PIK3R1,EGFR,ERBB4,NF1
GO:0035239	tube morphogenesis	2.13e-04	2.13e-04	1	FGFR2,GATA3,SOX9,PDGFRA,NOTCH1,TGFBR2,SOX17,CTNNB1,WT1
GO:0090329	regulation of DNA-dependent DNA replication	2.29e-04	2.29e-04	1	SMC1A,ATRX,STAG2,SMC3,FBXW7,CHEK2
GO:1903829	positive regulation of cellular protein localization	2.30e-04	2.30e-04	1	CDH1,FBXW7,TLR4,TP53,AKT1,PIK3R1,EGFR,U2AF1,BAP1,ERBB4
GO:1901796	regulation of signal transduction by p53 class mediator	2.46e-04	2.46e-04	1	BRCA1,EP300,STK11,TP53,AKT1,TAF1,ATM,ATR,CHEK2
GO:0098813	nuclear chromosome segregation	2.64e-04	2.64e-04	1	SMC1A,ATRX,STAG2,CTCF,SMC3,FBXW7,APC,RB1,ATM,RAD21,CTNNB1,AXIN2
GO:0046824	positive regulation of nucleocytoplasmic transport	2.77e-04	2.77e-04	1	CDH1,TLR4,TP53,SMAD4,PIK3R1,EGFR,ERBB4
GO:0040029	regulation of gene expression, epigenetic	2.81e-04	2.81e-04	1	BRCA1,EP300,CTCF,EZH2,SF3B1,ARID1A,DNMT3A,AJUBA,NCOR1,EGFR,SIN3A,SMAD2
GO:0048729	tissue morphogenesis	2.82e-04	2.82e-04	1	HGF,FGFR2,GATA3,SOX9,TBX3,SMAD4,NOTCH1,ARHGAP35,TGFBR2,SOX17,CTNNB1,WT1
GO:0018105	peptidyl-serine phosphorylation	2.90e-04	2.90e-04	1	STK11,AKT1,TAF1,ATM,BRAF,TGFBR2,NSD1,ATR,CHEK2,LRRK2,MTOR
GO:0045860	positive regulation of protein kinase activity	2.93e-04	2.93e-04	1	PIK3CG,FBXW7,CCND1,STK11,FLT3,CDKN1A,TLR4,AKT1,EGFR,KIT,TGFBR2,LRRK2
REAC:2179392	EGFR Transactivation by Gastrin	3.71e-04	3.71e-04	1	KRAS,EGFR,NRAS
GO:0051222	positive regulation of protein transport	3.84e-04	3.84e-04	1	CDH1,GATA3,FBXW7,TLR4,TP53,PIK3R1,EGFR,U2AF1,BAP1,ERBB4
REAC:2470946	Cohesin Loading onto Chromatin	3.88e-04	3.88e-04	1	SMC1A,STAG2,SMC3,RAD21
GO:0048545	response to steroid hormone	3.91e-04	3.91e-04	1	BRCA1,EP300,ARID1A,FOXA1,RB1,TAF1,CTNNB1,AR,CRIPAK
GO:0018209	peptidyl-serine modification	4.10e-04	4.10e-04	1	STK11,AKT1,TAF1,ATM,BRAF,TGFBR2,NSD1,ATR,CHEK2,LRRK2,MTOR
GO:0017038	protein import	4.36e-04	4.36e-04	1	CDH1,KEAP1,TLR4,AKT1,PIK3R1,EGFR,CTNNB1,ERBB4,NF1
REAC:1500620	Meiosis	4.42e-04	4.42e-04	1	BRCA1,SMC1A,STAG2,SMC3,BRCA2,ATM,HIST1H2BD,RAD21,ATR
GO:0046620	regulation of organ growth	4.81e-04	4.81e-04	1	FGFR2,NOTCH1,PTEN,ERBB4,WT1
GO:0071901	negative regulation of protein serine/threonine kinase activity	5.47e-04	5.47e-04	1	APC,CDKN2A,PTEN,NF1
GO:1900182	positive regulation of protein localization to nucleus	5.76e-04	5.76e-04	1	CDH1,TLR4,SMAD4,AKT1,PIK3R1,EGFR,ERBB4
REAC:2468052	Establishment of Sister Chromatid Cohesion	6.06e-04	6.06e-04	1	SMC1A,STAG2,SMC3,RAD21
GO:0003281	ventricular septum development	6.07e-04	6.07e-04	1	FGFR2,GATA3,SMAD4,NOTCH1,TGFBR2
GO:0034504	protein localization to nucleus	6.17e-04	6.17e-04	1	CDH1,KEAP1,TLR4,SMAD4,AKT1,PIK3R1,EGFR,CTNNB1,SIN3A,ERBB4,NF1
REAC:1250196	SHC1 events in ERBB2 signaling	6.31e-04	6.31e-04	1	KRAS,EGFR,ERBB4,NRAS
GO:0051568	histone H3-K4 methylation	6.45e-04	6.45e-04	1	BRCA1,SMAD4,KDM6A,CTNNB1,TET2
GO:2000679	positive regulation of transcription regulatory region DNA binding	6.63e-04	6.63e-04	1	GATA3,RB1,CTNNB1
GO:0007265	Ras protein signal transduction	6.73e-04	6.73e-04	1	KRAS,RB1,TP53,CDKN2A,NF1
GO:0003007	heart morphogenesis	6.79e-04	6.79e-04	1	FGFR2,GATA3,SOX9,SMAD4,NOTCH1,TGFBR2,SOX17,CTNNB1
REAC:2559586	DNA Damage/Telomere Stress Induced Senescence	6.89e-04	6.89e-04	1	CDKN1B,CDKN1A,RB1,TP53,ATM,HIST1H2BD,HIST1H1C
GO:0051147	regulation of muscle cell differentiation	7.07e-04	7.07e-04	1	FGFR2,SOX9,TBX3,SMAD4,NOTCH1,KIT,CTNNB1
REAC:2559583	Cellular Senescence	7.10e-04	7.10e-04	1	MAP2K4,EZH2,CDKN1B,CDKN2C,CDKN1A,RB1,TP53,CDKN2A,ATM,HIST1H2BD,HIST1H1C
REAC:5655302	Signaling by FGFR1 in disease	7.29e-04	7.29e-04	1	PIK3CA,KRAS,PIK3R1,NRAS
GO:0043551	regulation of phosphatidylinositol 3-kinase activity	7.54e-04	7.54e-04	1	FGFR3,FLT3,PDGFRA,PIK3R1,KIT
GO:0048485	sympathetic nervous system development	8.16e-04	8.16e-04	1	GATA3,CTNNB1,NF1
GO:0071478	cellular response to radiation	8.34e-04	8.34e-04	1	EP300,GATA3,STK11,CDKN1A,TP53,TAF1,ATM,ATR
GO:0031929	TOR signaling	8.61e-04	8.61e-04	1	GATA3,STK11,PIK3CA,AKT1,ATM,MTOR
GO:0032388	positive regulation of intracellular transport	8.87e-04	8.87e-04	1	CDH1,FBXW7,TLR4,TP53,PIK3R1,EGFR,U2AF1,BAP1,ERBB4
GO:0061138	morphogenesis of a branching epithelium	8.89e-04	8.89e-04	1	HGF,FGFR2,SOX9,TGFBR2,CTNNB1,WT1
GO:0071681	cellular response to indole-3-methanol	8.95e-04	8.95e-04	1	BRCA1,CDH1,CTNNB1
GO:0071680	response to indole-3-methanol	8.95e-04	8.95e-04	1	BRCA1,CDH1,CTNNB1
REAC:1226099	Signaling by FGFR in disease	9.03e-04	9.03e-04	1	FGFR2,FGFR3,PIK3CA,KRAS,PIK3R1,NRAS
GO:0048598	embryonic morphogenesis	9.07e-04	9.07e-04	1	FGFR2,GATA3,SOX9,FOXA2,PDGFRA,TBX3,NOTCH1,TGFBR2,SOX17,CTNNB1
GO:0010639	negative regulation of organelle organization	9.15e-04	9.15e-04	1	BRCA1,HGF,ATRX,APC,SMAD4,AKT1,ATM,SIN3A,NPM1,LRRK2
GO:0022407	regulation of cell-cell adhesion	9.35e-04	9.35e-04	1	CDH1,GATA3,PIK3CA,FOXA2,FOXA1,AKT1,PIK3R1,CDKN2A,TGFBR2,PTPN11,MTOR
GO:1903201	regulation of oxidative stress-induced cell death	9.57e-04	9.57e-04	1	HGF,FBXW7,NFE2L2,AKT1,LRRK2
REAC:389357	CD28 dependent PI3K/Akt signaling	9.92e-04	9.92e-04	1	PIK3CA,AKT1,PIK3R1,MTOR
GO:0016242	negative regulation of macroautophagy	1.02e-03	1.02e-03	1	PIK3CA,AKT1,LRRK2,MTOR
REAC:6804760	Regulation of TP53 Activity through Methylation	1.04e-03	1.04e-03	1	EP300,TP53,ATM,CHEK2
GO:0042176	regulation of protein catabolic process	1.05e-03	1.05e-03	1	KEAP1,FBXW7,CDKN1B,NFE2L2,APC,EGFR,PTEN,CHEK2,LRRK2,CEBPA
GO:2001233	regulation of apoptotic signaling pathway	1.12e-03	1.12e-03	1	BRCA1,HGF,FBXW7,NFE2L2,TP53,AKT1,AR,PTEN,LRRK2
REAC:1502540	Signaling by Activin	1.14e-03	1.14e-03	1	ACVR2A,ACVR1B,SMAD4,SMAD2
GO:0060562	epithelial tube morphogenesis	1.17e-03	1.17e-03	1	FGFR2,GATA3,SOX9,NOTCH1,TGFBR2,SOX17,CTNNB1,WT1
GO:0010212	response to ionizing radiation	1.19e-03	1.19e-03	1	BRCA1,GATA3,STK11,CDKN1A,TP53,ATM,ATR
REAC:5655253	Signaling by FGFR2 in disease	1.21e-03	1.21e-03	1	PIK3CA,KRAS,PIK3R1,NRAS
GO:0043414	macromolecule methylation	1.23e-03	1.23e-03	1	BRCA1,ATRX,EZH2,DNMT3A,SMAD4,KDM6A,NSD1,CTNNB1,TET2,SETD2
GO:0034644	cellular response to UV	1.24e-03	1.24e-03	1	EP300,STK11,CDKN1A,TP53,TAF1,ATR
GO:0031657	regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle	1.28e-03	1.28e-03	1	AKT1,EGFR,PTEN
GO:0048705	skeletal system morphogenesis	1.31e-03	1.31e-03	1	FGFR2,FGFR3,SOX9,PDGFRA,TGFBR2,CTNNB1
REAC:2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	1.31e-03	1.31e-03	1	CDKN1A,RB1,TP53,HIST1H1C
REAC:5693532	DNA Double-Strand Break Repair	1.40e-03	1.40e-03	1	BRCA1,POLQ,BRCA2,TP53,ATM,HIST1H2BD,BAP1,ATR,CHEK2
GO:0060421	positive regulation of heart growth	1.42e-03	1.42e-03	1	FGFR2,NOTCH1,ERBB4,WT1
GO:0046622	positive regulation of organ growth	1.42e-03	1.42e-03	1	FGFR2,NOTCH1,ERBB4,WT1
GO:0048562	embryonic organ morphogenesis	1.49e-03	1.49e-03	1	FGFR2,SOX9,PDGFRA,NOTCH1,TGFBR2,SOX17,CTNNB1
