Gene Symbol	Gene ID	logFC	FDR corrected Pvalue
PRMT5	10419	-0.387670182	0.00084309
BCHE	590	1.392902212	0.000847577
LGTN	1939	-0.402297035	0.000852266
HIST1H2BJ	8970	-0.817442053	0.000859134
EPSTI1	94240	-0.617648929	0.00085958
APRT	353	-0.45866716	0.000861148
AGTRAP	57085	-0.367980513	0.000865829
ZC3H8	84524	-0.367494897	0.000867465
SLC45A3	85414	0.577069549	0.000867505
COQ10A	93058	-0.389217963	0.000868384
IL7R	3575	0.860351924	0.000868384
BLVRB	645	-0.547351827	0.000869094
C16orf45	89927	0.780128217	0.000869873
FTSJD2	23070	-0.3008992	0.00087274
GKAP1	80318	-0.442729248	0.000873283
SAMD9	54809	-0.646410781	0.000873283
AIFM1	9131	-0.427451844	0.000873392
LYPD5	284348	-0.662314625	0.000874142
PPP1R15A	23645	0.494404519	0.000879544
SIDT1	54847	-0.844711972	0.000879731
SPRED2	200734	0.383284472	0.000883743
HLA-DQB1	3119	-0.903899901	0.000889203
USP1	7398	-0.367861267	0.000890881
MAPK11	5600	0.565816408	0.000891691
FAM70A	55026	0.95461019	0.00089987
GATSL2	729438	0.935221758	0.000899924
RBM11	54033	-0.640835241	0.000900244
KDM5B	10765	0.403509071	0.000900364
SFRP5	6425	1.346495767	0.000901817
HOXC5	3222	-0.882746705	0.000902965
COX6A1	1337	-0.45130853	0.000903352
HLA-DRB6	3128	-1.259297864	0.000912677
CDKL5	6792	0.5803788	0.000913343
COMMD9	29099	-0.30476049	0.000914504
COX8A	1351	-0.432824729	0.000918996
SCO2	9997	-0.4334676	0.000918996
LCK	3932	-0.647945972	0.000920298
UCK2	7371	-0.333760943	0.000921547
TMEM50A	23585	-0.314360017	0.000928249
CXorf56	63932	-0.329153877	0.000929162
TBC1D2B	23102	0.368314973	0.000929363
HRASLS	57110	-0.660707985	0.00093284
ZNF221	7638	0.675556981	0.00093284
TM6SF2	53345	0.80337987	0.00093297
GMPR2	51292	-0.338439594	0.000933166
LIPH	200879	-0.994326537	0.000933197
PXDNL	137902	0.813171672	0.000933197
LSM4	25804	-0.415647207	0.00093365
PCYT2	5833	-0.434299173	0.00093365
MUC15	143662	-1.291188138	0.000933779
PCDHGC4	56098	0.880996295	0.000935693
FBN2	2201	1.144721742	0.000940569
ADAM19	8728	0.539874723	0.000945191
PSMD14	10213	-0.31489016	0.000948725
SCUBE1	80274	1.265953385	0.000949444
RNF216	54476	0.306101867	0.000953598
SDHB	6390	-0.348740606	0.000955116
FNDC5	252995	0.731454434	0.000955415
RAB8A	4218	-0.33892319	0.000967899
TINF2	26277	-0.294184717	0.000967921
GSTP1	2950	-0.402913276	0.000968149
BTBD7	55727	0.330154647	0.000973237
BRI3	25798	-0.378493414	0.000975609
FAM72B	653820	-0.525586813	0.000976115
SRD5A3	79644	-0.589949401	0.000979518
TIMELESS	8914	-0.426423605	0.000986304
FREM2	341640	1.28458112	0.000988069
FUT11	170384	0.368092161	0.000989024
CORO2B	10391	0.814244309	0.000992416
CTAGE9	643854	-0.619560459	0.000994392
LSM3	27258	-0.361387481	0.000996373
MTERFD3	80298	-0.345503578	0.000998332
SPOCK3	50859	1.472573541	0.000999881
UNG	7374	-0.339380874	0.000999881
DPYSL2	1808	0.521192285	0.001000094
MYBPH	4608	-1.178809728	0.001004691
PPAPDC3	84814	0.752962472	0.001004691
TDP2	51567	-0.303281313	0.001007922
COX17	10063	-0.444581986	0.00100908
FAM107A	11170	-0.969890889	0.001009134
PRR16	51334	0.927143346	0.00101498
ZNF532	55205	0.367708927	0.001019216
APOLD1	81575	0.447141735	0.001020031
PLEKHH2	130271	0.748998253	0.001021307
LYNX1	66004	1.18890358	0.00102307
ADPRHL2	54936	-0.443220609	0.001023992
MRTO4	51154	-0.316585942	0.001026252
C1orf162	128346	-0.461241653	0.001027834
ROCK2	9475	0.354852475	0.00103162
C6orf26	401251	-0.606810537	0.001041007
CENPQ	55166	-0.417326178	0.001041812
RCAN3	11123	-0.443943767	0.001045285
SBF1	6305	0.41924418	0.00104641
CD80	941	-0.631280807	0.00104641
ARHGAP6	395	0.788739404	0.001048518
TMEM169	92691	0.758822832	0.001048518
SLC22A23	63027	0.590690321	0.001051103
C1GALT1C1	29071	-0.344745335	0.001056016
FIBCD1	84929	0.960046349	0.001056152
MEST	4232	0.668093483	0.001057107
ZFPM2	23414	0.828607663	0.00105719
C17orf103	256302	0.444347197	0.001059965
TNXB	7148	0.955750125	0.001061205
UBE2A	7319	-0.331693545	0.00106288
PCDHGA7	56108	1.059792265	0.001067127
AFF4	27125	0.319290078	0.001068199
IFFO1	25900	0.452629659	0.001070279
VPS37B	79720	0.359185045	0.001071574
UBL5	59286	-0.496720748	0.001080818
TP63	8626	1.039888498	0.001084264
FANCD2	2177	-0.426545766	0.001084986
TNFRSF17	608	-1.343059022	0.001086489
THOC7	80145	-0.341000721	0.001087804
CD1D	912	-0.561168821	0.001093202
RAD9A	5883	-0.341568941	0.001099356
CACNA1F	778	-0.951579308	0.001100277
PSMG1	8624	-0.373820958	0.001102165
DUS1L	64118	-0.357852844	0.001104165
MED18	54797	-0.346707654	0.001108881
LOH3CR2A	29931	0.590645341	0.001109906
TMPO	7112	-0.361593898	0.001111987
COPS6	10980	-0.318518809	0.001112262
SLC5A3	6526	-0.506401448	0.001114869
OMA1	115209	-0.338350298	0.001115583
PPM1J	333926	-0.646911562	0.001118989
CREB5	9586	0.629278252	0.00112284
DAPP1	27071	-0.67058026	0.00112317
CD53	963	-0.500010122	0.001124262
CD34	947	0.460910361	0.001129807
CDH13	1012	0.872097062	0.001129807
ITGB3BP	23421	-0.401344301	0.001129807
HDHD3	81932	-0.407744724	0.001136543
PXN	5829	0.316488858	0.001136768
ACTL6A	86	-0.337777292	0.001136991
DPY19L1	23333	0.383107052	0.001141973
TFPI	7035	0.70563629	0.001149927
DCST2	127579	-0.808295428	0.00115019
TNC	3371	0.854264935	0.00115019
C6orf115	58527	-0.482196904	0.00115019
MRPL37	51253	-0.323878932	0.001150294
GLRX2	51022	-0.406809587	0.001150966
CCDC153	283152	-0.760521292	0.001150966
ARRDC4	91947	0.584521719	0.001153865
MAP1B	4131	0.666280237	0.001155117
CBWD6	644019	-0.492669167	0.00116246
AURKAIP1	54998	-0.385242037	0.001163915
NRAS	4893	-0.339427636	0.00116682
SLC35F1	222553	1.01612494	0.001175182
ERI2	112479	-0.345877277	0.001175182
RNF166	115992	-0.301607299	0.001175182
CNPY2	10330	-0.328479778	0.001176769
NTNG2	84628	0.811836765	0.001183503
MEA1	4201	-0.381898825	0.001195164
ARRDC2	27106	-0.53117794	0.001200652
NAA50	80218	-0.276080451	0.001206906
PYGM	5837	1.00423644	0.001208324
WDR45L	56270	-0.374276805	0.001208324
TXN	7295	-0.446364429	0.001210543
NDUFS2	4720	-0.255971335	0.001211683
PANX2	56666	-0.798280985	0.001212582
EIF5A	1984	-0.328838077	0.001216069
CYTL1	54360	0.95877382	0.001224542
ABCA2	20	0.577704172	0.001224959
SGOL1	151648	-0.463597797	0.001229373
ITGAE	3682	-0.451427386	0.001235517
FGGY	55277	-0.442405251	0.001239188
CDH12	1010	-1.572804408	0.001239344
GOLGA2	2801	0.357613808	0.001246172
LRRC42	115353	-0.333851922	0.001256112
TMEM165	55858	-0.395208619	0.001257908
SEC16A	9919	0.345717001	0.001261239
PRDX4	10549	-0.429572191	0.001262222
TRAPPC6A	79090	-0.528895911	0.001263859
GPX1	2876	-0.414162035	0.001265617
BTF3L4	91408	-0.324266762	0.001266149
NMNAT3	349565	-0.391500446	0.001269351
LAMB2	3913	0.419695188	0.001270045
GFRA2	2675	1.315516885	0.001272942
SDHAF2	54949	-0.292003829	0.001273516
KIF7	374654	0.49337759	0.001274863
SLC25A33	84275	-0.43908045	0.001285211
EXTL2	2135	0.335332818	0.001286718
OGG1	4968	-0.305962768	0.001290394
SRPK3	26576	-1.12066107	0.001291203
NTNG1	22854	1.231303258	0.001298725
PEF1	553115	-0.291260383	0.001299209
RICH2	9912	0.604360215	0.001301807
POLB	5423	-0.44616496	0.001306221
C1orf66	51093	-0.315277463	0.001307542
NSDHL	50814	-0.375297604	0.001308935
HAX1	10456	-0.346072432	0.001309333
C1orf70	339453	0.739267138	0.001309333
INCA1	388324	-0.526729498	0.001314653
WNT7A	7476	1.089327623	0.001314743
DNASE2	1777	-0.384980126	0.001317675
PDE1B	5153	0.683039225	0.001318507
SNRPD3	6634	-0.347549946	0.001321599
C1orf163	65260	-0.316336376	0.001323038
SLC29A1	2030	-0.416055778	0.001323038
NDUFA12	55967	-0.367154071	0.001323038
ACAT2	39	-0.422084179	0.001330487
PAOX	196743	-0.388218437	0.001330487
TAF6L	10629	-0.256874488	0.001333703
DBC1	1620	1.388787628	0.001334234
MED30	90390	-0.408578346	0.001334853
THAP10	56906	-0.386994998	0.001338726
RNASE6	6039	-0.512590877	0.001339667
GRSF1	2926	-0.323531217	0.001340295
WFDC1	58189	0.698288914	0.001342599
HS3ST3B1	9953	0.793627972	0.00134991
MUSTN1	389125	0.785343561	0.00134991
CCND3	896	-0.400916128	0.001351013
ECHDC3	79746	-0.529056651	0.001351057
CNKSR1	10256	-0.407558976	0.001354246
ACSS2	55902	-0.336606566	0.001354616
ZNF774	342132	-0.495789967	0.001360158
DPH2	1802	-0.336673231	0.001360158
CD96	10225	-0.653606393	0.001360666
MRPL54	116541	-0.469324424	0.001365299
UMPS	7372	-0.249814259	0.001372502
ZDHHC13	54503	-0.357395705	0.001373775
GIMAP4	55303	-0.419792116	0.001380055
MRPL55	128308	-0.366181229	0.001382286
APOA1BP	128240	-0.378061544	0.001385934
TLCD1	116238	-0.529165768	0.001386218
DBR1	51163	-0.241321816	0.001386218
MYCL1	4610	-0.83675932	0.001386243
MAPT	4137	0.90713962	0.001386463
C12orf48	55010	-0.433864513	0.001386798
FAU	2197	-0.421472963	0.001386798
PPM1N	147699	-0.933377344	0.001386798
GRLF1	2909	0.408310502	0.001386798
USP34	9736	0.298710721	0.001390323
EDN2	1907	0.996684809	0.00139166
NXN	64359	0.476450168	0.001395893
SLC29A4	222962	0.854259359	0.001401393
SYNPO	11346	0.530682371	0.001401393
CTU2	348180	-0.378511318	0.001403183
UTP14C	9724	0.293308392	0.001405425
HOPX	84525	0.643484889	0.001409386
EDEM2	55741	-0.342376958	0.00141149
SCAMP3	10067	-0.276712151	0.001418212
MKNK1	8569	-0.280578478	0.001418296
PDGFC	56034	0.432543311	0.001435218
NT5M	56953	-0.527003981	0.001436985
IL6ST	3572	0.477536674	0.001442502
ABLIM2	84448	0.675465282	0.001443091
MX2	4600	-0.60579505	0.001444816
CD3G	917	-0.811431072	0.00144964
TIMM9	26520	-0.339226249	0.001450415
PRELID1	27166	-0.388106565	0.001456636
MAN1A2	10905	-0.414871985	0.001469867
RAMP2	10266	0.531919391	0.001471948
TIMM8B	26521	-0.505566093	0.001475533
STRA6	64220	0.796398356	0.001475533
C12orf45	121053	-0.432252602	0.001482709
RPS10	6204	-0.483075334	0.001485632
MMACHC	25974	-0.327919222	0.001493542
PSIP1	11168	-0.396370409	0.00149456
SUSD5	26032	0.606721754	0.001498684
CCND2	894	0.981792955	0.001502588
CLEC14A	161198	0.401057119	0.001503022
CCDC85A	114800	0.975520156	0.001504533
ANO6	196527	0.324310026	0.001506962
POC1B	282809	-0.452081282	0.00150996
ST3GAL2	6483	0.387041065	0.001512145
AP1AR	55435	-0.319696818	0.001516095
LRRC70	100130733	0.469786912	0.00151811
MASTL	84930	-0.382400642	0.001521727
TNIP3	79931	-1.094283772	0.001536564
GPR109A	338442	0.933940842	0.001536564
SNRPD1	6632	-0.368513879	0.001542852
CMAH	8418	0.710325399	0.001543721
TMEM178	130733	0.879563873	0.001555823
MYNN	55892	-0.350722074	0.001556678
GPR153	387509	0.644532311	0.001556831
TNNT2	7139	1.213438058	0.001562877
DAD1	1603	-0.371031194	0.001573755
CCDC102B	79839	0.484597	0.001573787
HAUS8	93323	-0.451375793	0.001575089
LPAR2	9170	-0.377340265	0.001576893
CAPN2	824	0.383276561	0.001578539
KLRK1	22914	-0.803831535	0.00158144
FIGN	55137	0.739914536	0.00158281
FBXO43	286151	-0.662848221	0.001584871
ALPK1	80216	-0.402728056	0.001586975
PDCL3	79031	-0.2844644	0.001590999
TMEM186	25880	-0.372858915	0.001597253
HELLS	3070	-0.527489074	0.001597642
INPP5J	27124	-0.581509037	0.001610839
ZNF70	7621	0.386400192	0.001613292
PCDH17	27253	0.688448552	0.001614198
C10orf99	387695	1.689472447	0.00161431
LILRB5	10990	0.745021469	0.001615566
SSU72	29101	-0.312507103	0.001619886
SLC37A1	54020	-0.423824106	0.001621674
IL17RB	55540	-0.620685566	0.001622467
EBNA1BP2	10969	-0.333881607	0.001623403
PLEKHA3	65977	-0.260245051	0.001625571
RORA	6095	0.507721314	0.001629368
SPIN2B	474343	-0.472895556	0.00163574
PCDHB14	56122	0.654358437	0.001637453
CRIM1	51232	0.404585666	0.001643598
GLDN	342035	-0.931171322	0.001643598
MRPL12	6182	-0.450887408	0.00165167
TNS4	84951	1.130917639	0.00165605
LRRN2	10446	0.658135243	0.00165776
TMTC1	83857	0.729573499	0.001658727
RFC4	5984	-0.379996449	0.001659324
ZWINT	11130	-0.438596928	0.001659324
RIPK2	8767	-0.459343551	0.001663799
PSMD9	5715	-0.276428523	0.001663799
HBA2	3040	1.116912307	0.001664723
ILF2	3608	-0.283472968	0.001665435
EFS	10278	0.730108683	0.001669791
UBA1	7317	-0.385432927	0.001673042
YIPF1	54432	-0.30524871	0.00167332
MTERF	7978	-0.301962204	0.00167332
IGFL2	147920	1.297421667	0.001673789
PSORS1C1	170679	-0.843416844	0.001673789
PLVAP	83483	0.74415753	0.001673789
NUDCD2	134492	-0.37483221	0.001673789
RANGRF	29098	-0.378271065	0.001674291
MRPL36	64979	-0.463351237	0.001674391
FOXP4	116113	0.51958114	0.001681482
BSPRY	54836	-0.508779237	0.001684731
GLT25D2	23127	0.800592523	0.001684926
CIAO1	9391	-0.205782436	0.001687471
SOD2	6648	-0.552164273	0.001692184
MST1R	4486	-0.725274176	0.001696334
HDAC4	9759	0.425158082	0.001696334
PHF11	51131	-0.337861873	0.001704911
C6orf226	441150	-0.568387822	0.001704911
MYO19	80179	-0.327506495	0.001707924
GPBP1L1	60313	-0.250403931	0.001708941
ATP5G1	516	-0.528681868	0.001708941
ALOXE3	59344	-0.947070589	0.001708941
SLC13A3	64849	0.764718234	0.001708941
UTP3	57050	-0.327127152	0.001709103
NIP7	51388	-0.314135254	0.001709742
RBPMS2	348093	0.643479021	0.001709742
TSC22D1	8848	0.418041942	0.001710316
ZNF691	51058	-0.324442657	0.001713248
C4orf43	55319	-0.346456511	0.001714938
RPA2	6118	-0.320853464	0.001719597
SVIP	258010	-0.404226106	0.001720011
TMEM176A	55365	0.753484628	0.001724484
RBMS2	5939	0.360881862	0.001726404
LLPH	84298	-0.279833551	0.001734229
TMEM134	80194	-0.359702244	0.001735557
SMOX	54498	0.445966452	0.001744646
SUSD3	203328	-0.649883159	0.001744646
AKT3	10000	0.752893846	0.001744735
ATXN1	6310	0.393265491	0.001746514
C3orf17	25871	-0.253121871	0.001748141
C20orf24	55969	-0.355079355	0.001751487
TTC7B	145567	0.37053188	0.001757303
ATF7	11016	0.284246943	0.001757303
MAGOHB	55110	-0.407766904	0.001757303
LGR4	55366	-0.568788267	0.001757303
HOXC4	3221	-0.750870517	0.001757606
C5AR1	728	0.493604383	0.001766192
DCAF12	25853	-0.284358289	0.001766192
MTSS1	9788	0.56991788	0.001766192
C1orf63	57035	-0.445541352	0.001767184
NOL7	51406	-0.295117077	0.001768051
NUDT6	11162	-0.435013901	0.001774105
FXYD3	5349	-0.835574869	0.001776269
MKKS	8195	-0.307429384	0.001781018
FCHO1	23149	-0.581021237	0.001784973
ENDOU	8909	1.132203734	0.001787328
SMAD1	4086	-0.381403459	0.001789843
FAM49B	51571	-0.384064486	0.001793025
PSMD11	5717	-0.25884937	0.001804268
ARID3B	10620	0.497143264	0.001808699
ZFP42	132625	1.798462159	0.001809636
VRK2	7444	-0.269512018	0.001812324
FH	2271	-0.333024596	0.001812324
HPDL	84842	-0.593150308	0.001812324
TMC8	147138	-0.456894708	0.001813032
UBXN11	91544	-0.439465111	0.001815504
RBPJ	3516	0.250261364	0.00181675
MRPL17	63875	-0.3582478	0.00182547
METTL1	4234	-0.310319699	0.001830421
FAM127B	26071	-0.348842866	0.001835649
CHTF8	54921	-0.233702627	0.001835919
CEPT1	10390	-0.279920939	0.001841564
HAMP	57817	-0.80883514	0.001843797
TJP1	7082	0.393143256	0.001848393
CCDC53	51019	-0.340730657	0.001848775
BCS1L	617	-0.282163207	0.001848851
MYBL1	4603	-0.513588465	0.001848851
RBMXL1	494115	-0.264751125	0.001850299
PVT1	5820	-0.637128868	0.001850299
MFN1	55669	-0.302670273	0.001851703
DDX28	55794	-0.32194549	0.00185369
PKMYT1	9088	-0.504037172	0.001853737
ZHX2	22882	0.490539587	0.001854715
PTPMT1	114971	-0.314802854	0.001862049
KRT80	144501	0.700924198	0.001864317
TRIM69	140691	-0.63021117	0.001871296
CXorf40A	91966	-0.35413216	0.001871296
FAM122C	159091	-0.427657897	0.001874455
C11orf24	53838	0.27104981	0.001885797
MCAT	27349	-0.330392218	0.001893875
GZMH	2999	-0.837035543	0.00189426
ELL3	80237	-0.49078801	0.001897732
NR1D1	9572	0.45906423	0.001900666
IKBKB	3551	-0.383308653	0.001901347
PTGS2	5743	0.868004017	0.001902451
IFRD2	7866	-0.325429055	0.001909324
EFNB2	1948	0.602027792	0.001909324
KLHL3	26249	0.483138756	0.001918133
CCS	9973	-0.323311205	0.001918133
LIMCH1	22998	0.534164307	0.001918133
BLVRA	644	-0.401792174	0.001925158
CDC45	8318	-0.516791422	0.001926081
HBB	3043	1.042774374	0.001930768
LYN	4067	-0.390851944	0.001930768
NDUFA13	51079	-0.435345168	0.001931036
ASAP1	50807	0.379079905	0.001933717
IQCD	115811	-0.554105253	0.001935169
ZDHHC21	340481	-0.380848073	0.001937281
CEP55	55165	-0.503055101	0.00194164
ALDH1B1	219	0.365353258	0.001943983
NISCH	11188	0.336361981	0.001947987
ZNF511	118472	-0.359283437	0.001947987
HDLBP	3069	0.309879402	0.001947987
AGT	183	1.156077301	0.00195301
APOBEC3A	200315	-0.797377263	0.001953268
OIP5	11339	-0.459041384	0.001953592
C16orf89	146556	-1.31236265	0.00195599
GBA	2629	-0.393303337	0.00195599
SHFM1	7979	-0.364324822	0.00195599
FAM190B	54462	0.279962464	0.001957325
PROS1	5627	0.603912717	0.001979161
TOE1	114034	-0.334250251	0.001979161
MRPL27	51264	-0.38321021	0.001979161
SSH1	54434	0.312388443	0.001983791
SHCBP1	79801	-0.454466558	0.001985052
GRRP1	79927	0.528632955	0.001993792
ERP29	10961	-0.31869813	0.001994353
CFH	3075	0.657649674	0.001999258
CDKL1	8814	-0.691936582	0.001999258
TMEM200B	399474	0.825216156	0.002000734
IRAK2	3656	-0.726460164	0.002007847
FXYD6	53826	0.655369086	0.002009653
C9orf135	138255	-1.338595521	0.002010441
ESPL1	9700	-0.470547847	0.002013478
TUBB3	10381	0.654058894	0.002013478
CRCP	27297	-0.258555882	0.002023921
TK2	7084	0.335282325	0.002023921
ANAPC10	10393	-0.346204274	0.002028607
DBNDD2	55861	-0.461919886	0.00202983
CAMSAP1L1	23271	0.305020033	0.002030352
SCN4B	6330	0.69372265	0.002033109
CBWD3	445571	-0.453644047	0.002043439
DLL4	54567	0.428786013	0.002049303
PPA2	27068	-0.329029043	0.00205353
MCM6	4175	-0.395519947	0.002055458
RUNDC2C	440352	0.688159051	0.002057992
PSMG3	84262	-0.386672866	0.002057992
PTGES3	10728	-0.275799985	0.002058597
BNIP3L	665	0.350217347	0.00206049
BAT2L1	84726	0.345376374	0.00206094
TIAM1	7074	-0.531707265	0.002063789
MRPL20	55052	-0.348729557	0.002068749
RGPD3	653489	0.335368559	0.002072466
IGSF6	10261	-0.52461757	0.002074332
ITGAL	3683	-0.593759735	0.002074332
ATP8A2	51761	0.995514789	0.002078945
SLC20A1	6574	0.313023968	0.002083239
CUTA	51596	-0.357235284	0.002095821
C14orf109	26175	-0.383710799	0.002101277
CCT3	7203	-0.260877043	0.002101746
BIRC3	330	-0.775834684	0.002108574
FGFRL1	53834	0.578162462	0.002108574
NAPSB	256236	-0.778452708	0.002113129
FASTKD3	79072	-0.333882973	0.002113129
MCM2	4171	-0.370085112	0.002123788
HMGN1	3150	-0.29690621	0.002123788
ZKSCAN2	342357	0.402752783	0.002124863
SETD7	80854	0.437786809	0.002126434
SNCG	6623	-0.943099122	0.002132629
SACS	26278	0.381221444	0.002141731
NARS2	79731	-0.457602233	0.002147463
HSPBAP1	79663	-0.328086202	0.002147723
GK5	256356	-0.391115064	0.002155433
MED13L	23389	0.349452463	0.002162153
HCN4	10021	1.025899309	0.002173513
PCYOX1	51449	0.287623546	0.002174054
KDM4C	23081	-0.364191581	0.002177892
ATP9A	10079	0.391774948	0.002177892
RTKN	6242	-0.33192115	0.00217898
PCDHGB6	56100	0.811229273	0.002183777
ZNF167	55888	0.446693874	0.002187733
SBK2	646643	1.565543559	0.0021891
PHACTR3	116154	1.094227974	0.002193553
CSTF3	1479	-0.260653626	0.002195836
TMEM179B	374395	-0.347469427	0.002199884
WDR34	89891	-0.390396808	0.002202479
IL12A	3592	-0.846783336	0.002202996
USP15	9958	-0.247171156	0.00220435
MXRA7	439921	0.425819742	0.002219433
DNAJB2	3300	0.352674658	0.002222921
DNM3	26052	0.653209972	0.0022324
RNASEH2A	10535	-0.452841747	0.002232423
ALAS1	211	-0.270817166	0.002233259
COMMD8	54951	-0.379390179	0.002233259
DGUOK	1716	-0.312124995	0.002233259
PDZK1	5174	0.979698723	0.002233259
HFM1	164045	1.074817852	0.002240715
C13orf36	400120	-0.970699454	0.002240715
BACH1	571	0.285771021	0.002242696
C2orf65	130951	-0.704693671	0.002244642
TNFAIP6	7130	0.756761166	0.002256656
TFAM	7019	-0.274006411	0.002260952
MYLK	4638	0.497772434	0.00226265
ITIH5	80760	0.857270278	0.00226265
MAMDC2	256691	0.730886379	0.002269151
CPT2	1376	-0.302688055	0.002275949
C2orf49	79074	-0.272523524	0.002282181
PLEKHM3	389072	0.350970795	0.002284434
FLNA	2316	0.445868645	0.002286316
ORC5L	5001	-0.28620817	0.002286576
SLC25A35	399512	-0.432601227	0.002297965
SRGN	5552	-0.434769445	0.002298375
GIMAP5	55340	-0.451370096	0.002316133
NSMCE2	286053	-0.455351828	0.002323035
PEX11B	8799	-0.281534022	0.002323035
C15orf23	90417	-0.343168424	0.002324635
CAND2	23066	-0.491621764	0.002325319
RCC1	1104	-0.38770045	0.002325319
C8orf47	203111	-0.748917225	0.002328588
SUPT4H1	6827	-0.316281107	0.002329111
ADRA1B	147	0.876582027	0.002330687
FAM78B	149297	0.719599	0.002331715
TET1	80312	0.501158865	0.002337001
RASL11B	65997	0.710264081	0.002337001
CD19	930	-1.058377206	0.002340484
GIYD2	79008	-0.433582565	0.002351122
C7	730	1.218581217	0.002351122
CLDN6	9074	1.186631344	0.00236211
LARP7	51574	-0.293045439	0.00236211
NUF2	83540	-0.476195821	0.002362875
KRT4	3851	1.338505014	0.002362875
PCNP	57092	-0.244184258	0.002367253
PALM	5064	0.629724951	0.002367253
DUS4L	11062	-0.297698204	0.0023673
NDUFB7	4713	-0.51808078	0.0023673
PRDX5	25824	-0.336253467	0.0023673
UBE2S	27338	-0.49555133	0.002372502
C19orf60	55049	-0.391594044	0.002372646
HMGA1	3159	-0.439017924	0.002378866
COX6B1	1340	-0.432435	0.002381849
MCF2L	23263	0.638608312	0.002381849
REEP3	221035	0.446758582	0.002385365
ADARB2	105	1.248219662	0.002385365
PIGO	84720	-0.301534114	0.00239438
CLDN1	9076	0.765723088	0.002399414
CETN2	1069	-0.389918922	0.00240808
PARVG	64098	-0.524239415	0.002411043
UROD	7389	-0.319256041	0.002415169
NUDT5	11164	-0.363909469	0.002420104
TTLL12	23170	-0.36826819	0.002420104
CHAF1A	10036	-0.331474355	0.002431278
TRAIP	10293	-0.376875669	0.002446633
TNFRSF8	943	0.878232187	0.002456972
RBM17	84991	-0.269676866	0.002462142
CNIH	10175	-0.367950284	0.002467639
SCO1	6341	-0.284125983	0.002472324
COPS3	8533	-0.289632266	0.002476625
NPM3	10360	-0.463507759	0.002476625
RPUSD3	285367	-0.30764891	0.002479299
MMP10	4319	1.645205236	0.002481502
NOVA1	4857	0.824348898	0.002482077
BST2	684	-0.671178004	0.002487659
KCNK3	3777	0.882992103	0.002493777
IL17RD	54756	0.577457409	0.002494112
TUBB6	84617	0.441289415	0.002498214
PCDHGB5	56101	0.920382898	0.002508042
CDCA5	113130	-0.41083529	0.002510756
MND1	84057	-0.519965013	0.002513141
GBA2	57704	-0.332710118	0.002513141
MUS81	80198	-0.239038794	0.002513318
SLIT1	6585	1.001963439	0.002514179
GSG2	83903	-0.459892576	0.002514358
GRIP1	23426	0.61019602	0.002519182
MBD4	8930	-0.246525611	0.002520096
GUSB	2990	-0.308486399	0.002524323
RAB32	10981	-0.400211104	0.002524518
TACC3	10460	-0.446833142	0.002524518
PRSS12	8492	-0.99559251	0.002530819
TMEM107	84314	-0.391821836	0.002531881
HRH1	3269	0.609053903	0.002541959
HIST2H4A	8370	-0.656660864	0.00254612
TAGAP	117289	-0.496232815	0.002548584
NCAPG	64151	-0.443614646	0.002550835
GTF2IRD1	9569	0.323900217	0.002555724
PTPLAD2	401494	-0.407538991	0.002576522
KNTC1	9735	-0.436392708	0.002579012
ZNF527	84503	-0.389556124	0.002579012
E2F1	1869	-0.428203532	0.002580148
RNF167	26001	-0.294021161	0.002589481
MGC45800	90768	1.275771149	0.002589743
FAM38A	9780	0.526324893	0.002594885
NDUFB10	4716	-0.379476188	0.002600797
C1orf212	113444	-0.326151744	0.002606004
C11orf9	745	0.749911527	0.002606004
PLAA	9373	-0.306082885	0.002616197
CDC42EP2	10435	0.397183531	0.002619924
CLDN7	1366	-0.463250797	0.002633141
APOE	348	-0.56206261	0.00264263
CXorf26	51260	-0.262541459	0.002649653
CRB3	92359	-0.480200421	0.002650168
CSGALNACT2	55454	0.277803117	0.002653185
KCNA5	3741	0.962111661	0.002653185
CCL20	6364	-1.242623502	0.002657134
GINS1	9837	-0.366038176	0.002673022
MTCH1	23787	-0.301175838	0.002676789
TTC4	7268	-0.246176148	0.002694636
TMEM184B	25829	0.331589485	0.002697824
C11orf92	399948	-0.860538676	0.002700351
MRPL13	28998	-0.433066598	0.002702229
DIMT1L	27292	-0.334012196	0.002704557
C12orf44	60673	-0.292404181	0.002704557
OLFM2	93145	0.784425262	0.002710958
ZNF396	252884	-0.471803143	0.002712517
LRP6	4040	0.394353608	0.002723716
SALL2	6297	0.494380739	0.002731885
TENC1	23371	0.457507844	0.002731885
JTB	10899	-0.31361947	0.002735139
TNK1	8711	-0.395359023	0.002735624
PRSS23	11098	0.609670526	0.002738943
ECHDC1	55862	-0.337020461	0.00273933
B3GALT4	8705	-0.446393476	0.00273933
FUT2	2524	-0.727552574	0.002768549
HIC2	23119	0.473520838	0.002773973
ELK1	2002	-0.33218528	0.00277661
BAZ1A	11177	-0.318474227	0.002779825
ERP27	121506	-1.033691584	0.002780136
SPTBN2	6712	0.497813281	0.002787561
TMLHE	55217	-0.380296841	0.002797848
NNT	23530	-0.343656622	0.002804794
GPAM	57678	0.376510277	0.002835939
GPR160	26996	-0.723724535	0.002836311
CIRH1A	84916	-0.284692131	0.002838672
GPS1	2873	-0.305444991	0.002840341
PPP1R3E	90673	-0.474398123	0.002846649
PRPSAP1	5635	-0.272929545	0.002874473
